country,city,lat,lon,macro_region,meso_region,development_level,gdp_per_capita,gdp_volume,hdi,ECI,population,total_city,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
united states,state college,40.8147955,-77.8653126,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,88285,12,NA,1,1,NA,2,2,3,1,1,1
united states,phoenix,33.4483771,-112.0740373,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,1615017,22,NA,2,8,3,3,2,1,NA,1,2
venezuela,valera,9.3191109,-70.6032995,Americas,South America,Developing economies,18102,5.44E+11,0.726,-0.655229,161771,4,NA,2,NA,1,1,NA,NA,NA,NA,NA
united states,cohoes,42.7742446,-73.7001187,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,16875,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
united states,new orleans,29.9510658,-90.0715323,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,391495,11,NA,2,1,2,1,1,2,1,NA,1
united states,dallas,32.7766642,-96.7969879,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,1317929,81,2,5,23,8,10,7,8,8,3,7
united states,new york,40.6781784,-73.9441579,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,8622698,32,NA,7,4,4,7,2,2,2,2,2
china,guangzhou,23.12911,113.264385,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,14043500,83,3,6,10,9,12,8,7,13,4,11
united states,los altos,37.3852183,-122.1141298,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,30743,8,NA,5,NA,NA,NA,NA,NA,1,1,1
india,bengaluru,12.9715987,77.5945627,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,8425970,153,NA,4,3,18,13,10,17,13,41,34
mexico,monterey,25.6866142,-100.3161126,Americas,Northern America,Developing economies,19432,2.42E+12,0.767,1.09955,3712000,16,NA,2,2,1,NA,NA,2,1,6,2
india,new delhi,28.6139391,77.2090212,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,317797,98,NA,5,5,7,6,7,9,15,20,24
mexico,mexico city,19.4326077,-99.133208,Americas,Northern America,Developing economies,19432,2.42E+12,0.767,1.09955,9041395,76,1,4,3,8,8,6,7,14,12,13
united states,la quinta,33.6633573,-116.3100095,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,41304,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
malaysia,malacca,2.194418,102.249063,Asia,South-eastern Asia,Developing economies,30004,9.33E+11,0.804,0.971372,788706,9,NA,1,NA,NA,NA,NA,NA,NA,NA,8
united states,menlo park,37.4529598,-122.1817252,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,34357,9,NA,2,NA,2,2,1,1,1,NA,NA
costa rica,san jose,9.9280694,-84.0907246,Americas,Central America,Developing economies,16976,84031346801,0.794,0.237988,342188,31,NA,2,4,6,4,2,4,4,3,2
india,vellore,12.9165167,79.1324986,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,177081,7,NA,1,NA,NA,1,2,1,1,NA,1
india,pune,18.5204303,73.8567437,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,4672000,92,NA,4,6,7,4,9,11,12,19,20
united states,kansas city,39.0997265,-94.5785667,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,151709,53,1,3,4,8,13,5,6,5,5,3
taiwan,taipei,25.0329694,121.5654177,Asia,Eastern Asia,Developing economies,50500,1.19E+12,"NA","NA",6900273,117,2,4,6,11,18,14,12,17,21,12
united states,"washington, dc",47.7510741,-120.7401385,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,681170,99,2,8,13,11,11,8,14,12,11,9
canada,calgary,51.0447331,-114.0718831,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,1311833,66,NA,5,5,7,9,7,6,6,6,15
united states,winnetka,42.1080834,-87.735895,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,12480,3,NA,1,NA,NA,NA,1,1,NA,NA,NA
united states,chapel hill,35.9131996,-79.0558445,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,59862,12,NA,1,1,3,2,1,1,1,1,1
united states,new york,40.8447819,-73.8648268,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,8622698,16,NA,1,2,3,4,NA,2,3,NA,1
united states,portland,45.5051064,-122.6750261,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,639863,54,NA,3,6,4,4,4,6,11,6,10
myanmar (burma),yangon,16.840939,96.173526,Asia,South-eastern Asia,Developing economies,6172,3.29E+11,0.584,-1.27821,4088000,8,NA,1,NA,2,1,NA,NA,1,2,1
south korea,suwon-si,37.2635727,127.0286009,Asia,Eastern Asia,Developing economies,38824,2.00E+12,0.906,1.77613,1078000,7,NA,2,1,1,2,NA,NA,NA,NA,1
canada,edmonton,53.5461245,-113.4938229,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,1004947,25,NA,4,1,5,3,2,2,2,3,3
united states,colorado springs,38.8338816,-104.8213634,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,465101,13,NA,1,1,NA,NA,2,1,2,6,NA
united states,los angeles,34.1391568,-118.2140883,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,3884307,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
ecuador,quito,-0.1806532,-78.4678382,Americas,South America,Developing economies,11501,1.93E+11,0.758,-0.933232,1805522,21,NA,1,1,3,1,2,2,2,5,4
canada,montreal,45.5016889,-73.567256,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,1784420,51,1,2,2,5,8,4,5,10,7,7
united states,st. petersburg,27.7676008,-82.6402915,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,260999,17,NA,NA,2,3,4,3,3,NA,1,1
united states,austin,30.267153,-97.7430608,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,947890,41,1,2,3,2,7,4,6,6,5,5
united states,notre dame,41.7055716,-86.2353388,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,6720,8,NA,NA,1,NA,NA,2,2,1,1,1
united states,flint,43.0125274,-83.6874562,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,335354,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
united states,montecito,34.4366626,-119.6320753,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,8984,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA
united states,denver,39.7392358,-104.990251,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,693060,42,NA,4,5,10,5,5,4,4,3,2
united states,berkeley,37.8715226,-122.273042,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,121240,18,NA,1,2,1,4,2,2,2,2,2
united states,durham,35.9940329,-78.898619,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,263016,31,NA,NA,8,2,3,3,2,5,3,5
united states,champaign,40.1164204,-88.2433829,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,156794,5,NA,1,1,NA,1,1,1,NA,NA,NA
brazil,porto alegre,-30.0346471,-51.2176584,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,114650,50,NA,2,3,8,6,4,7,7,9,4
india,goa,15.2993265,74.123996,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",5,NA,NA,1,NA,NA,NA,1,1,1,1
united states,philadelphia,39.9525839,-75.1652215,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,1567872,53,1,4,9,4,7,8,11,2,1,6
united states,littleton,39.613321,-105.0166498,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,47734,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA
canada,oshawa,43.8970929,-78.8657912,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,169509,11,NA,NA,1,1,1,2,1,2,1,2
united states,stanford,37.4274745,-122.169719,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,15277,7,NA,NA,1,1,1,1,1,1,1,NA
united states,san diego,32.8328112,-117.2712717,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,1406630,10,NA,1,1,NA,1,2,1,1,1,2
united states,saint charles,38.7881062,-90.4974359,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,70329,3,NA,NA,1,NA,NA,1,NA,NA,1,NA
japan,osaka,34.6937249,135.5022535,Asia,Eastern Asia,Developed economies,41959,5.32E+12,0.915,2.30938,2691742,13,NA,NA,1,2,1,2,NA,3,2,2
united states,easton,40.688432,-75.2207323,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,27109,8,NA,NA,2,1,NA,1,1,2,1,NA
united states,kapaau,20.2338889,-155.8019444,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
brazil,rio de janeiro,-22.9068467,-43.1728965,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,6718903,38,NA,2,4,8,3,5,1,5,3,7
canada,saskatoon,52.1332144,-106.6700458,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,268188,8,NA,2,1,1,3,NA,1,NA,NA,NA
united states,aptos,36.9771729,-121.8994016,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,5775,3,NA,NA,1,1,1,NA,NA,NA,NA,NA
canada,guelph,43.5448048,-80.2481666,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,140683,12,NA,1,1,3,1,NA,1,2,1,2
united states,provo,40.2338438,-111.6585337,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,116868,9,NA,NA,1,2,1,1,1,1,1,1
united arab emirates,al ain,24.1301619,55.8023118,Asia,Western Asia,Developing economies,73356,6.96E+11,0.866,0.128674,328000,8,NA,NA,1,6,1,NA,NA,NA,NA,NA
south korea,gyeonggi-do,37.4138,127.5183,Asia,Eastern Asia,Developing economies,38824,2.00E+12,0.906,1.77613,"NA",6,1,NA,3,1,1,NA,NA,NA,NA,NA
argentina,san miguel de tucuman,-26.8082848,-65.2175903,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,830000,9,NA,NA,1,NA,2,1,2,2,1,NA
qatar,doha,25.2854473,51.5310398,Asia,Western Asia,Developing economies,124609,3.40E+11,0.848,0.396207,956457,29,1,2,2,4,NA,3,4,2,2,9
south korea,busan,35.1795543,129.0756416,Asia,Eastern Asia,Developing economies,38824,2.00E+12,0.906,1.77613,3428923,39,NA,NA,3,10,8,8,4,3,2,1
united states,los angeles,34.2381251,-118.530123,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,3884307,3,NA,NA,1,NA,NA,NA,NA,1,1,NA
united states,bowling green,36.9685219,-86.4808043,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,90448,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1
india,tiruppur,11.1085242,77.3410656,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,650000,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
saudi arabia,riyadh,24.7135517,46.6752957,Asia,Western Asia,Developing economies,53693,1.78E+12,0.857,0.747155,5188286,38,NA,NA,7,5,4,3,4,4,8,3
united states,manhattan beach,33.8847361,-118.4109089,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,35924,26,NA,8,7,1,1,1,2,2,3,1
united states,claremont,34.0966764,-117.7197785,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,36015,9,NA,NA,2,1,2,1,1,1,NA,1
united states,duluth,46.7866719,-92.1004852,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,120101,4,NA,NA,1,1,NA,NA,1,NA,1,NA
united states,phoenixville,40.1303822,-75.5149128,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,16943,18,NA,1,11,3,1,2,NA,NA,NA,NA
argentina,rosario,-32.9587022,-60.6930416,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,1203000,24,NA,1,1,2,2,2,3,7,3,3
united states,lexington,38.0405837,-84.5037164,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,318449,11,NA,2,2,1,1,1,2,1,NA,1
china,shijiazhuang,38.042805,114.514893,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,4303700,4,NA,NA,1,NA,NA,NA,NA,1,1,1
canada,victoria,48.4284207,-123.3656444,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,92292,29,NA,1,7,4,5,4,3,NA,2,3
united states,northbrook,42.1275267,-87.8289548,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,33400,23,NA,NA,2,2,NA,NA,6,7,4,2
armenia,yerevan,40.1872023,44.515209,Asia,Western Asia,Transition economies,9621,28331472880,0.76,"NA",1076716,43,NA,2,2,6,1,2,2,9,8,11
bahrain,manama,26.2235305,50.5875935,Asia,Western Asia,Developing economies,47660,71208283858,0.838,"NA",176909,4,NA,2,2,NA,NA,NA,NA,NA,NA,NA
united states,hanover,43.7022451,-72.2895526,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,67679,7,NA,1,1,NA,NA,1,NA,NA,2,2
argentina,olavarria,-36.8937167,-60.3233499,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,86320,3,NA,NA,1,NA,NA,NA,1,NA,1,NA
